OrderID,OrderDate,CustomerID,ProductID,Quantity,Revenue,Cost
1001,2025-01-05,C001,P001,2,1998.00,1400.00
1002,2025-01-05,C002,P003,1,799.00,550.00
1003,2025-01-06,C003,P002,1,1299.00,900.00
1004,2025-01-06,C001,P005,3,89.97,60.00
1005,2025-01-07,C004,P001,1,999.00,700.00
1006,2025-01-08,C005,P004,2,79.98,50.00
1007,2025-01-08,C002,P006,1,449.00,300.00
1008,2025-01-09,C006,P003,1,799.00,550.00
1009,2025-01-10,C003,P001,1,999.00,700.00
1010,2025-01-10,C007,P007,2,59.98,40.00
1011,2025-01-12,C004,P002,1,1299.00,900.00
1012,2025-01-13,C008,P005,5,149.95,100.00
1013,2025-01-14,C001,P004,1,39.99,25.00
1014,2025-01-15,C009,P006,1,449.00,300.00
1015,2025-01-16,C005,P008,2,699.98,480.00
1016,2025-01-17,C010,P001,1,999.00,700.00
1017,2025-01-18,C002,P009,3,1497.00,1050.00
1018,2025-01-19,C006,P003,2,1598.00,1100.00
1019,2025-01-20,C003,P010,1,199.00,140.00
1020,2025-01-21,C011,P002,1,1299.00,900.00
1021,2025-01-22,C004,P007,4,119.96,80.00
1022,2025-01-23,C012,P005,2,59.98,40.00
1023,2025-01-24,C007,P004,3,119.97,75.00
1024,2025-01-25,C013,P006,1,449.00,300.00
1025,2025-01-26,C008,P001,2,1998.00,1400.00
1026,2025-01-27,C014,P008,1,349.99,240.00
1027,2025-01-28,C009,P009,1,499.00,350.00
1028,2025-01-29,C015,P003,1,799.00,550.00
1029,2025-01-30,C005,P010,2,398.00,280.00
1030,2025-01-31,C001,P002,1,1299.00,900.00
1031,2025-02-01,C010,P005,6,179.94,120.00
1032,2025-02-02,C002,P007,2,59.98,40.00
1033,2025-02-03,C016,P004,1,39.99,25.00
1034,2025-02-04,C006,P006,2,898.00,600.00
1035,2025-02-05,C003,P001,1,999.00,700.00
1036,2025-02-06,C017,P008,1,349.99,240.00
1037,2025-02-07,C011,P009,2,998.00,700.00
1038,2025-02-08,C004,P003,1,799.00,550.00
1039,2025-02-09,C018,P010,1,199.00,140.00
1040,2025-02-10,C012,P002,1,1299.00,900.00
1041,2025-02-11,C007,P005,4,119.96,80.00
1042,2025-02-12,C019,P007,3,89.97,60.00
1043,2025-02-13,C013,P004,2,79.98,50.00
1044,2025-02-14,C020,P006,1,449.00,300.00
1045,2025-02-15,C008,P001,1,999.00,700.00
1046,2025-02-16,C014,P008,2,699.98,480.00
1047,2025-02-17,C009,P009,1,499.00,350.00
1048,2025-02-18,C015,P003,2,1598.00,1100.00
1049,2025-02-19,C005,P010,1,199.00,140.00
1050,2025-02-20,C001,P002,1,1299.00,900.00
